FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,IMAGEURL
Julius Anglickas,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",http://ufcstats.com/fighter-details/e20ad078a7d63361,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/98a6c137-20ac-4ffc-81cd-06432d83d610%252FANGLICKAS_JULIAS_L.png?itok=jWJwDGQJ
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",http://ufcstats.com/fighter-details/047a91d3d9c79b05,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/71642%252Fprofile-galery%252Ffullbodyleft-picture%252FANGLIN_COLLIN_L_07-31.png?itok=ng2gLiP_
Chad Anheliger,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",http://ufcstats.com/fighter-details/c7c39e2fb70248b3,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/ANHELIGER_CHAD_L_11-18.png?itok=OoBt4Abe
Yoji Anjo,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",http://ufcstats.com/fighter-details/e06fd1260ac865a7,
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",http://ufcstats.com/fighter-details/d802174b0c0c1f4e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/ANKALAEV_MAGOMED_L_01-13.png?itok=MBDesB3U
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-10/67993%252Fprofile-galery%252Ffullbodyleft-picture%252FANTIGULOV_GADZHIMURAD_L_10-17.png?itok=srTD4_DK
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",http://ufcstats.com/fighter-details/25b31165758402dd,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Adam-Antolin_636457_LeftFullBodyImage.png?itok=3KqTiyFg
Angelo Antonio,--,205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/dbd198f780286aca,
Azunna Anyanwu,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",http://ufcstats.com/fighter-details/78d48d3874dacafd,
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",http://ufcstats.com/fighter-details/4665f9f909cd7214,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/4281a1de-4f58-4181-8723-06e392385f6f%252Fshinsho-anzai_497847_LeftFullBodyImage.png?itok=tfSM830o
Shinya Aoki,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",http://ufcstats.com/fighter-details/79ded75550efc139,
Aoriqileng,"5' 7""",125 lbs.,"69""",Orthodox,"Jun 25, 1993",http://ufcstats.com/fighter-details/7d420039bbfe7c1a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/AORIQILENG_L_10-07.png?itok=XRYF9ps7
Josh Appelt,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",http://ufcstats.com/fighter-details/0c1a04afca64e38f,
Erik Apple,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,
Kenji Arai,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",http://ufcstats.com/fighter-details/269d103c96a4c3a5,
Romie Aram,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",http://ufcstats.com/fighter-details/73ef22f25d0f70e2,
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",http://ufcstats.com/fighter-details/71002dbc1743b9a7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/0b807ccf-5013-4cfc-9053-3761b33df84b%252FFelipe-Arantes_205677_LeftFullBodyImage.png?itok=Zukol9zY
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/84ab21a2-03ae-46c8-b2e2-e38341457d2b%252FIgor-Araujo_454202_LeftFullBodyImage.png?itok=77BxdcpY
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",http://ufcstats.com/fighter-details/36541f1e6c5d4955,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/ARAUJO_VIVIANE_L_02-03.png?itok=q42FRWAO
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/ARCE_JULIO_L_03-30.png?itok=oEFCQDUI
Art Arciniega,"5' 8""",145 lbs.,--,,"Oct 15, 1981",http://ufcstats.com/fighter-details/d25e39e74efb0a77,
Tristan Arenal,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/9c9455912d917e4e,
Hashem Arkhagha,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",http://ufcstats.com/fighter-details/9a7ffa80766caa51,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/71768%252Fprofile-galery%252Ffullbodyleft-picture%252FARKHAGHA_HASHEM_L.png?itok=uIgkJcP9
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",http://ufcstats.com/fighter-details/3738e68d2261e60f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/ARLOVSKI_ANDREI_L_01-13.png?itok=CYURgriT
Joey Armstrong,--,--,--,,--,http://ufcstats.com/fighter-details/30ad2050273d016a,
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",http://ufcstats.com/fighter-details/bf0e700106d00e55,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Austin_Arnett/ARNETT_AUSTIN_L.png?VersionId=FrJtPxGTmLeR_9EEVuRieNA8g7lCR27E&itok=DIbkN46N
Ricardo Arona,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",http://ufcstats.com/fighter-details/05fbfe628658c538,
Chalid Arrab,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",http://ufcstats.com/fighter-details/770b9d4813c25902,
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",http://ufcstats.com/fighter-details/c136b2a8852da5bd,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Akbarh-Arreola_486122_LeftFullBodyImage.png?itok=_VP1ckPm
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",http://ufcstats.com/fighter-details/de62052b2ede65ba,
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",http://ufcstats.com/fighter-details/61fb8098ccf81c7f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-06/71421%252Fprofile-galery%252Ffullbodyleft-picture%252FARROYO_ANTONIO_L_06-05.png?itok=x5vIo4FW
Gilles Arsene,"5' 9""",190 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/2dea80c069847321,
Veta Arteaga,"5' 7""",125 lbs.,--,,--,http://ufcstats.com/fighter-details/91e3388e69060e69,
Cesar Arzamendia,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/49f78022126bf4a4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/7f43157f-e765-4718-a728-dca6b3de67ea%252FCesar-Arzamendia_570127_LeftFullBodyImage.png?itok=xVIs2MhI
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",http://ufcstats.com/fighter-details/a373085066dbfb54,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/faa35dea-247f-47f0-b666-ee9737f770bc%252FASH_TEDDY_R.png?itok=_EkanIdP
Arman Ashimov,"5' 6""",125 lbs.,--,,"Jan 14, 1992",http://ufcstats.com/fighter-details/d26a0988c9dc9886,
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994",http://ufcstats.com/fighter-details/2abc414136504554,
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",http://ufcstats.com/fighter-details/b1d19449397541dc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/64d4b199-f8a4-42dd-8e20-fb92da0368b4%252FASKAROV_ASKAR_L_03-26.png?itok=xJGujLhw
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",http://ufcstats.com/fighter-details/9be6020024133293,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67690/profile-galery/fullbodyleft-picture/cyril-asker_582930_LeftFullBodyImage.png?VersionId=TLECFA4ysUjurLgo1LoZ5j.62_PgZ4HH&itok=nqIizPBw
Khusein Askhabov,"5' 8""",145 lbs.,--,,"Feb 13, 1995",http://ufcstats.com/fighter-details/5c10da56d712ac9c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/ASKHABOV_KHUSEIN_L_02-18.png?itok=Z62LDXC5
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",http://ufcstats.com/fighter-details/06827d70c53ff0d9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/ab383662-2b00-4d86-b8cb-6af54e92fd1d%252FScott-Askham_496987_LeftFullBodyImage.png?itok=jjBTvV0k
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",http://ufcstats.com/fighter-details/0b31f87be71ebbb1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71443/profile-galery/fullbodyleft-picture/ASKREN_BEN_L.png?VersionId=mL.Z0hdamNtjwq3YsCAgWT9GMWD5Sm7r&itok=DR4wZEnX
Ibo Aslan,"6' 3""",205 lbs.,--,,"Apr 23, 1996",http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/ASLAN_IBO_L_03-30.png?itok=DZ1GQu3W
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",http://ufcstats.com/fighter-details/399afbabc02376b5,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/ASPINALL_TOM_L_BELTMOCK.png?itok=b-8iWaRT
Bruno Assis,"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992",http://ufcstats.com/fighter-details/ff222167cce02919,
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",http://ufcstats.com/fighter-details/d0d7160824278840,
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",http://ufcstats.com/fighter-details/2f13e4020cea5b38,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/ASSUNCAO_RAPHAEL_L_03-11.png?itok=ioT5bUHj
Bazigit Atajev,"6' 1""",230 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95,
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",http://ufcstats.com/fighter-details/210935fd21670f6d,
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",http://ufcstats.com/fighter-details/55ee431411ccf07a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-12/AUBIN-MERCIER_OLIVIER_L.png?VersionId=OKFi4jt84PKGKM1d56QfcRjjuancF3n8&itok=sebDlCaQ
Pat Audinwood,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",http://ufcstats.com/fighter-details/196ed28337adc630,
Jose Augusto,"6' 3""",251 lbs.,--,,"Mar 28, 1992",http://ufcstats.com/fighter-details/4d3b08ab127c7585,
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",http://ufcstats.com/fighter-details/04643fd03d9159cc,
David Avellan,"5' 9""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/956dcac65e7b34d6,
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",http://ufcstats.com/fighter-details/8753e125f4499816,
Levi Avera,"6' 1""",170 lbs.,--,,"May 17, 1982",http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c,
Anthony Avila,"5' 7""",145 lbs.,--,,"Dec 29, 1988",http://ufcstats.com/fighter-details/033d19259f589457,
Chris Avila,"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993",http://ufcstats.com/fighter-details/4665cbf36b08193b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/85cf3205-7d97-441c-a2b5-3175415b27ef%252Fchris-avila_597692_LeftFullBodyImage.png?itok=U6vjs2x2
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/AVILA_JULIA_L_12-02.png?itok=iLm2ffIi
Saad Awad,"5' 11""",155 lbs.,--,,"Jun 07, 1983",http://ufcstats.com/fighter-details/da603332ad41f165,
Javy Ayala,"6' 1""",265 lbs.,--,,"Aug 20, 1988",http://ufcstats.com/fighter-details/26387c19f32dda0f,
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",http://ufcstats.com/fighter-details/6eaec40f724852f4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-10/68250%252Fprofile-galery%252Ffullbodyleft-picture%252FAYARI_JESSIN_L_10-03.png?itok=Y-UnwaEo
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",http://ufcstats.com/fighter-details/46d0a888d87d91ac,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-10/AZAITAR_ABU_L_10-21.png?itok=uYsiRlaS
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",http://ufcstats.com/fighter-details/ee18ff42063174df,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/AZAITAR_OTTMAN_L_07-15.png?itok=gvQrt3Z6
Luiz Azeredo,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",http://ufcstats.com/fighter-details/063649e21bc9d6d5,
Luciano Azevedo,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981",http://ufcstats.com/fighter-details/9bcfb40dbcd50568,
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",http://ufcstats.com/fighter-details/2af2f2e26c4c0402,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-04/71504%252Fprofile-galery%252Ffullbodyleft-picture%252FAZURE_HUNTER_L_04-10.png?itok=OcETL6nN
Niklas Backstrom,"6' 1""",145 lbs.,--,Orthodox,"Aug 22, 1989",http://ufcstats.com/fighter-details/39cc64bf0a269db9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/b5db91d7-cf5d-4fe7-a3fd-e9e31784065f%252FNiklas-Backstrom_485282_LeftFullBodyImage.png?itok=qXbopRrz
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/a166ff62-5193-4022-86e9-587abc91ea00%252FSeth-Baczynski_1184_LeftFullBodyImage.png?itok=bzNZhvqo
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",http://ufcstats.com/fighter-details/c0ab242c40decc55,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/bf6fcf68-753c-4865-a53d-ec84b1b1114c%252FRyan-Bader_1000_LeftFullBodyImage.png?itok=Z0WMAXF5
Izabela Badurek,"5' 5""",115 lbs.,--,Orthodox,"Jul 11, 1991",http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/864a74ad-0b09-490d-b738-37ca322d64bc%252Fizabela-badurek_522868_LeftFullBodyImage.png?itok=1GFSB7-m
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992",http://ufcstats.com/fighter-details/82d4c957649faf9b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-04/65831c4a-daca-459b-93c1-89d330a0ba0b%252FBAEZA_MIGUEL_L_04-16.png?itok=qO7dRtqY
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Ali-Bagautinov_335521_LeftFullBodyImage.png?itok=3sOk2gDh
Mehdi Baghdad,"6' 1""",155 lbs.,--,Orthodox,"Apr 13, 1985",http://ufcstats.com/fighter-details/e4d2564ea0e34e2b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/88c742b6-1fb3-49d8-8690-8dbda57d8b70%252FMehdi-Baghdad_576507_LeftFullBodyImage.png?itok=faFmablp
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,"Jan 28, 1992",http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/BAGHDASARYAN_MELSIK_L_07-31.png?itok=ySgHAyHM
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",http://ufcstats.com/fighter-details/aec185309b4843d0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2019-09/BAHADURZADA_SIYAR_L.png?VersionId=6NZMWBSOprM5vttUb3GN0i7Umrz9B9.U&itok=fQC1bzCr
Ignacio Bahamondes,"6' 3""",155 lbs.,"75""",Orthodox,"Aug 27, 1997",http://ufcstats.com/fighter-details/e4a47b07044ddd72,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-04/BAHAMONDES_IGNACIO_L_04-06.png?itok=T5Y5aABf
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982",http://ufcstats.com/fighter-details/e2b8186b618b00c4,
Jordan Bailey,"5' 9""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36,
Scott Baker,"6' 0""",210 lbs.,--,,--,http://ufcstats.com/fighter-details/7d5b12de1625984e,
Bryan Baker,"6' 3""",185 lbs.,--,Orthodox,"Oct 13, 1985",http://ufcstats.com/fighter-details/898337ef520fe4d3,
Jin Bala,"5' 9""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/371efa53bd0cf669,
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987",http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-03/oluwale-bamgbose_540747_LeftFullBodyImage.png?VersionId=MfOg69Y.KNeNWVVC1KN6DD5b7Cq4II6A&itok=5gQTltru
Stephen Banaszak,"6' 0""",145 lbs.,--,,"Dec 07, 1990",http://ufcstats.com/fighter-details/4c4b44e3cf5815b3,
Marcin Bandel,"5' 10""",155 lbs.,--,Orthodox,"Oct 10, 1989",http://ufcstats.com/fighter-details/5c2ce761399dc9c5,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/e1afa092-1039-42a3-a03e-233875cfe86c%252FMarcin-Bandel_496989_LeftFullBodyImage.png?itok=Bwl7nflQ
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",http://ufcstats.com/fighter-details/2c2caf2f2bab9df5,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-11/BANDENAY_HUMBERTO_L.png?VersionId=zFe8WuuwtbTYr.KRXVakxsLNXli3V0X3&itok=5UCgvUsV
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",http://ufcstats.com/fighter-details/9a2d3567abc02e34,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/892e26ad-6b0a-4e0d-9419-7f626b0b716a%252FTae-Hyun-Bang_464449_LeftFullBodyImage.png?itok=7bdwof7h
Yohan Banks,--,--,--,,--,http://ufcstats.com/fighter-details/c50ea21fe9ef478d,
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",http://ufcstats.com/fighter-details/9ddfb3369a3b0394,
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987",http://ufcstats.com/fighter-details/2c99576fefe53c7c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-10/BARAO_RENAN_L.png?VersionId=mXkxLQ23sgEnbww1uAfCtyUXEiNeUWpB&itok=6JbQ_CUm
Junior Barata,"5' 10""",170 lbs.,--,Orthodox,"Jan 25, 1982",http://ufcstats.com/fighter-details/06dced58ca24a6bd,
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",http://ufcstats.com/fighter-details/6a740daf1b279661,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/BARBER_MAYCEE_L_03-09.png?itok=N-Z1E98o
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",http://ufcstats.com/fighter-details/a331233f597090a5,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/BARBERENA_BRYAN_L_07-22.png?itok=6D3tQBuy
Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",http://ufcstats.com/fighter-details/64a50dad704d1d49,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/BARBOZA_EDSON_L_04-15.png?itok=YxwT-z0F
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",http://ufcstats.com/fighter-details/b9f28e7045fdfce7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/BARCELOS_RAONI_L_10-01.png?itok=l4-b65vy
Daniel Barez,"5' 6""",125 lbs.,"66""",Orthodox,"Dec 10, 1988",http://ufcstats.com/fighter-details/e8fe9c15d348e778,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/BAREZ_DANIEL_L_07-22.png?itok=mtd_fbJj
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",http://ufcstats.com/fighter-details/172c2135e70f87b7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/64547f95-1197-4009-9470-27aaea494494%252FLuke-Barnatt_307098_LeftFullBodyImage.png?itok=NlfQj9uD
James Barnes,"5' 8""",135 lbs.,"71""",Orthodox,"May 28, 1982",http://ufcstats.com/fighter-details/c06a5c95f1169c0b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-10/71054%252Fprofile-galery%252Ffullbodyright-picture%252FBARNES_JAMES_R.png?itok=aYYxBcl1
Nick Barnes,"5' 11""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/78a5eea49638685d,
Shonte Barnes,"5' 11""",185 lbs.,"76""",Southpaw,"Feb 09, 1987",http://ufcstats.com/fighter-details/e575b6ff678c1aca,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-10/71818%252Fprofile-galery%252Ffullbodyleft-picture%252FBARNES_SHONTE_L.png?itok=lL7HhN7c
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",http://ufcstats.com/fighter-details/ad3f53c454cbbead,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68372/profile-galery/fullbodyleft-picture/Josh-Barnett_133_LeftFullBodyImage.png?VersionId=6Nabyfc.GizSpGsZXYruavhxvboSPUDR&itok=jw0iPkFc
Chris Barnett,"5' 9""",265 lbs.,"75""",Orthodox,"Jun 14, 1986",http://ufcstats.com/fighter-details/7a5e8c94a86f9895,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/BARNETT_CHRIS_L_09-10.png?itok=IMxtup3E
Chris Barnhizer,--,--,--,,--,http://ufcstats.com/fighter-details/91e69a1c3c87325b,
David Baron,"5' 6""",155 lbs.,--,Switch,"Feb 15, 1973",http://ufcstats.com/fighter-details/80c0bed43da0e27b,
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",http://ufcstats.com/fighter-details/1652f3213655b935,
Dan Barrera,"5' 9""",170 lbs.,--,Orthodox,"Dec 23, 1980",http://ufcstats.com/fighter-details/f12f979b657ab876,
Carlos Barreto,"6' 4""",230 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/a220be6d41d6f97d,
Jose Barreto,--,185 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/c32eab6c2119e989,
Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986",http://ufcstats.com/fighter-details/d21113c9ff3788ae,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/cfeccf57-d7d4-4e44-8737-cb525a5c3158%252FBARRETT_PETER_L_08-08.png?itok=Hc9ngnTK
Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/BARRIAULT_MARC-ANDRE_L_01-20.png?itok=yQrbE0Nb
David Barrios,"5' 6""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/e6015889f50075d2,
Alexandre Barros,"5' 9""",170 lbs.,--,Southpaw,"Nov 19, 1976",http://ufcstats.com/fighter-details/8fd1f27e86661ede,
Ricardo Barros,"6' 1""",205 lbs.,--,,"Mar 22, 1976",http://ufcstats.com/fighter-details/d26394fc0e8e880a,
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",http://ufcstats.com/fighter-details/b69f24c500d783e7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/6313f3d5-f68e-4b8b-aea2-872d3630732a%252FFrancimar-Barroso_450399_LeftFullBodyImage.png?itok=xiNnuHbC
